TIME,ARB
0.003938462,-0.3973
0.003940385,0.4404
0.003942308,-0.4008
0.003944231,0.4082
0.003946154,-0.4295
0.003948077,0.4082
0.00395,-0.4295
0.003951923,0.414
0.003953846,-0.4018
0.003955769,0.3867
0.003957692,-0.4295
0.003959615,0.4032
0.003961538,-0.3865
0.003963462,0.3867
0.003965385,-0.3968
0.003967308,0.352
0.003969231,-0.4078
0.003971154,0.3652
0.003973077,-0.3597
0.003975,0.3545
0.003976923,-0.3328
0.003978846,0.3385
0.003980769,-0.3534
0.003982692,0.3224
0.003984615,-0.3643
0.003986538,0.3424
0.003988462,-0.3221
0.003990385,0.3223
0.003992308,-0.2899
0.003994231,0.2578
0.003996154,-0.2899
0.003998077,0.2041
0.004,-0.2202
0.004001923,0.2239
0.004003846,-0.1717
0.004005769,0.2285
0.004007692,-0.1645
0.004009615,0.2578
0.004011538,-0.5
0.004013462,0.1827
0.004015385,0.2793
0.004017308,-0.3436
0.004019231,0.3652
0.004021154,-0.4295
0.004023077,0.4082
0.004025,-0.3758
0.004026923,0.3437
0.004028846,-0.4197
0.004030769,0.4189
0.004032692,-0.3752
0.004034615,0
0.004036538,0.2149
0.004038462,-0.3973
0.004040385,0.4404
0.004042308,-0.4008
0.004044231,0.4082
0.004046154,-0.4295
0.004048077,0.4082
0.00405,-0.4295
0.004051923,0.414
0.004053846,-0.4018
0.004055769,0.3867
0.004057692,-0.4295
0.004059615,0.4032
0.004061538,-0.3865
0.004063462,0.3867
0.004065385,-0.3968
0.004067308,0.352
0.004069231,-0.4078
0.004071154,0.3652
0.004073077,-0.3597
0.004075,0.3545
0.004076923,-0.3328
0.004078846,0.3385
0.004080769,-0.3534
0.004082692,0.3224
0.004084615,-0.3643
0.004086538,0.3424
0.004088462,-0.3221
0.004090385,0.3223
0.004092308,-0.2899
0.004094231,0.2578
0.004096154,-0.2899
0.004098077,0.2041
0.0041,-0.2202
0.004101923,0.2239
0.004103846,-0.1717
0.004105769,0.2285
0.004107692,-0.1645
0.004109615,0.2578
0.004111538,-0.5
0.004113462,0.1827
0.004115385,0.2793
0.004117308,-0.3436
0.004119231,0.3652
0.004121154,-0.4295
0.004123077,0.4082
0.004125,-0.3758
0.004126923,0.3437
0.004128846,-0.4197
0.004130769,0.4189
0.004132692,-0.3752
0.004134615,0
0.004136538,0.2149
0.004138462,-0.3973
0.004140385,0.4404
0.004142308,-0.4008
0.004144231,0.4082
0.004146154,-0.4295
0.004148077,0.4082
0.00415,-0.4295
0.004151923,0.414
0.004153846,-0.4018
0.004155769,0.3867
0.004157692,-0.4295
0.004159615,0.4032
0.004161538,-0.3865
0.004163462,0.3867
0.004165385,-0.3968
0.004167308,0.352
0.004169231,-0.4078
0.004171154,0.3652
0.004173077,-0.3597
0.004175,0.3545
0.004176923,-0.3328
0.004178846,0.3385
0.004180769,-0.3534
0.004182692,0.3224
0.004184615,-0.3643
0.004186538,0.3424
0.004188462,-0.3221
0.004190385,0.3223
0.004192308,-0.2899
0.004194231,0.2578
0.004196154,-0.2899
0.004198077,0.2041
0.0042,-0.2202
0.004201923,0.2239
0.004203846,-0.1717
0.004205769,0.2285
0.004207692,-0.1645
0.004209615,0.2578
0.004211538,-0.5
0.004213462,0.1827
0.004215385,0.2793
0.004217308,-0.3436
0.004219231,0.3652
0.004221154,-0.4295
0.004223077,0.4082
0.004225,-0.3758
0.004226923,0.3437
0.004228846,-0.4197
0.004230769,0.4189
0.004232692,-0.3752
0.004234615,0
0.004236538,0.2149
0.004238462,-0.3973
0.004240385,0.4404
0.004242308,-0.4008
0.004244231,0.4082
0.004246154,-0.4295
0.004248077,0.4082
0.00425,-0.4295
0.004251923,0.414
0.004253846,-0.4018
0.004255769,0.3867
0.004257692,-0.4295
0.004259615,0.4032
0.004261538,-0.3865
0.004263462,0.3867
0.004265385,-0.3968
0.004267308,0.352
0.004269231,-0.4078
0.004271154,0.3652
0.004273077,-0.3597
0.004275,0.3545
0.004276923,-0.3328
0.004278846,0.3385
0.004280769,-0.3534
0.004282692,0.3224
0.004284615,-0.3643
0.004286538,0.3424
0.004288462,-0.3221
0.004290385,0.3223
0.004292308,-0.2899
0.004294231,0.2578
0.004296154,-0.2899
0.004298077,0.2041
0.0043,-0.2202
0.004301923,0.2239
0.004303846,-0.1717
0.004305769,0.2285
0.004307692,-0.1645
0.004309615,0.2578
0.004311538,-0.5
0.004313462,0.1827
0.004315385,0.2793
0.004317308,-0.3436
0.004319231,0.3652
0.004321154,-0.4295
0.004323077,0.4082
0.004325,-0.3758
0.004326923,0.3437
0.004328846,-0.4197
0.004330769,0.4189
0.004332692,-0.3752
0.004334615,0
0.004336538,0.2149
0.004338462,-0.3973
0.004340385,0.4404
0.004342308,-0.4008
0.004344231,0.4082
0.004346154,-0.4295
0.004348077,0.4082
0.00435,-0.4295
0.004351923,0.414
0.004353846,-0.4018
0.004355769,0.3867
0.004357692,-0.4295
0.004359615,0.4032
0.004361538,-0.3865
0.004363462,0.3867
0.004365385,-0.3968
0.004367308,0.352
0.004369231,-0.4078
0.004371154,0.3652
0.004373077,-0.3597
0.004375,0.3545
0.004376923,-0.3328
0.004378846,0.3385
0.004380769,-0.3534
0.004382692,0.3224
0.004384615,-0.3643
0.004386538,0.3424
0.004388462,-0.3221
0.004390385,0.3223
0.004392308,-0.2899
0.004394231,0.2578
0.004396154,-0.2899
0.004398077,0.2041
0.0044,-0.2202
0.004401923,0.2239
0.004403846,-0.1717
0.004405769,0.2285
0.004407692,-0.1645
0.004409615,0.2578
0.004411538,-0.5
0.004413462,0.1827
0.004415385,0.2793
0.004417308,-0.3436
0.004419231,0.3652
0.004421154,-0.4295
0.004423077,0.4082
0.004425,-0.3758
0.004426923,0.3437
0.004428846,-0.4197
0.004430769,0.4189
0.004432692,-0.3752
0.004434615,0
0.004436538,0.2149
0.004438462,-0.3973
0.004440385,0.4404
0.004442308,-0.4008
0.004444231,0.4082
0.004446154,-0.4295
0.004448077,0.4082
0.00445,-0.4295
0.004451923,0.414
0.004453846,-0.4018
0.004455769,0.3867
0.004457692,-0.4295
0.004459615,0.4032
0.004461538,-0.3865
0.004463462,0.3867
0.004465385,-0.3968
0.004467308,0.352
0.004469231,-0.4078
0.004471154,0.3652
0.004473077,-0.3597
0.004475,0.3545
0.004476923,-0.3328
0.004478846,0.3385
0.004480769,-0.3534
0.004482692,0.3224
0.004484615,-0.3643
0.004486538,0.3424
0.004488462,-0.3221
0.004490385,0.3223
0.004492308,-0.2899
0.004494231,0.2578
0.004496154,-0.2899
0.004498077,0.2041
0.0045,-0.2202
0.004501923,0.2239
0.004503846,-0.1717
0.004505769,0.2285
0.004507692,-0.1645
0.004509615,0.2578
0.004511538,-0.5
0.004513462,0.1827
0.004515385,0.2793
0.004517308,-0.3436
0.004519231,0.3652
0.004521154,-0.4295
0.004523077,0.4082
0.004525,-0.3758
0.004526923,0.3437
0.004528846,-0.4197
0.004530769,0.4189
0.004532692,-0.3752
0.004534615,0
0.004536538,0.2149
0.004538462,-0.3973
0.004540385,0.4404
0.004542308,-0.4008
0.004544231,0.4082
0.004546154,-0.4295
0.004548077,0.4082
0.00455,-0.4295
0.004551923,0.414
0.004553846,-0.4018
0.004555769,0.3867
0.004557692,-0.4295
0.004559615,0.4032
0.004561538,-0.3865
0.004563462,0.3867
0.004565385,-0.3968
0.004567308,0.352
0.004569231,-0.4078
0.004571154,0.3652
0.004573077,-0.3597
0.004575,0.3545
0.004576923,-0.3328
0.004578846,0.3385
0.004580769,-0.3534
0.004582692,0.3224
0.004584615,-0.3643
0.004586538,0.3424
0.004588462,-0.3221
0.004590385,0.3223
0.004592308,-0.2899
0.004594231,0.2578
0.004596154,-0.2899
0.004598077,0.2041
0.0046,-0.2202
0.004601923,0.2239
0.004603846,-0.1717
0.004605769,0.2285
0.004607692,-0.1645
0.004609615,0.2578
0.004611538,-0.5
0.004613462,0.1827
0.004615385,0.2793
0.004617308,-0.3436
0.004619231,0.3652
0.004621154,-0.4295
0.004623077,0.4082
0.004625,-0.3758
0.004626923,0.3437
0.004628846,-0.4197
0.004630769,0.4189
0.004632692,-0.3752
0.004634615,0
0.004636538,0.2149
0.004638462,-0.3973
0.004640385,0.4404
0.004642308,-0.4008
0.004644231,0.4082
0.004646154,-0.4295
0.004648077,0.4082
0.00465,-0.4295
0.004651923,0.414
0.004653846,-0.4018
0.004655769,0.3867
0.004657692,-0.4295
0.004659615,0.4032
0.004661538,-0.3865
0.004663462,0.3867
0.004665385,-0.3968
0.004667308,0.352
0.004669231,-0.4078
0.004671154,0.3652
0.004673077,-0.3597
0.004675,0.3545
0.004676923,-0.3328
0.004678846,0.3385
0.004680769,-0.3534
0.004682692,0.3224
0.004684615,-0.3643
0.004686538,0.3424
0.004688462,-0.3221
0.004690385,0.3223
0.004692308,-0.2899
0.004694231,0.2578
0.004696154,-0.2899
0.004698077,0.2041
0.0047,-0.2202
0.004701923,0.2239
0.004703846,-0.1717
0.004705769,0.2285
0.004707692,-0.1645
0.004709615,0.2578
0.004711538,-0.5
0.004713462,0.1827
0.004715385,0.2793
0.004717308,-0.3436
0.004719231,0.3652
0.004721154,-0.4295
0.004723077,0.4082
0.004725,-0.3758
0.004726923,0.3437
0.004728846,-0.4197
0.004730769,0.4189
0.004732692,-0.3752
0.004734615,0
0.004736538,0.2149
0.004738462,-0.3973
0.004740385,0.4404
0.004742308,-0.4008
0.004744231,0.4082
0.004746154,-0.4295
0.004748077,0.4082
0.00475,-0.4295
0.004751923,0.414
0.004753846,-0.4018
0.004755769,0.3867
0.004757692,-0.4295
0.004759615,0.4032
0.004761538,-0.3865
0.004763462,0.3867
0.004765385,-0.3968
0.004767308,0.352
0.004769231,-0.4078
0.004771154,0.3652
0.004773077,-0.3597
0.004775,0.3545
0.004776923,-0.3328
0.004778846,0.3385
0.004780769,-0.3534
0.004782692,0.3224
0.004784615,-0.3643
0.004786538,0.3424
0.004788462,-0.3221
0.004790385,0.3223
0.004792308,-0.2899
0.004794231,0.2578
0.004796154,-0.2899
0.004798077,0.2041
0.0048,-0.2202
0.004801923,0.2239
0.004803846,-0.1717
0.004805769,0.2285
0.004807692,-0.1645
0.004809615,0.2578
0.004811538,-0.5
0.004813462,0.1827
0.004815385,0.2793
0.004817308,-0.3436
0.004819231,0.3652
0.004821154,-0.4295
0.004823077,0.4082
0.004825,-0.3758
0.004826923,0.3437
0.004828846,-0.4197
0.004830769,0.4189
0.004832692,-0.3752
0.004834615,0
0.004836538,-0.2149
0.004838462,0.3973
0.004840385,-0.4404
0.004842308,0.4008
0.004844231,-0.4082
0.004846154,0.4295
0.004848077,-0.4082
0.00485,0.4295
0.004851923,-0.414
0.004853846,0.4018
0.004855769,-0.3867
0.004857692,0.4295
0.004859615,-0.4032
0.004861538,0.3865
0.004863462,-0.3867
0.004865385,0.3968
0.004867308,-0.352
0.004869231,0.4078
0.004871154,-0.3652
0.004873077,0.3597
0.004875,-0.3545
0.004876923,0.3328
0.004878846,-0.3385
0.004880769,0.3534
0.004882692,-0.3224
0.004884615,0.3643
0.004886538,-0.3424
0.004888462,0.3221
0.004890385,-0.3223
0.004892308,0.2899
0.004894231,-0.2578
0.004896154,0.2899
0.004898077,-0.2041
0.0049,0.2202
0.004901923,-0.2239
0.004903846,0.1717
0.004905769,-0.2285
0.004907692,0.1645
0.004909615,-0.2578
0.004911538,0.5
0.004913462,-0.1827
0.004915385,-0.2793
0.004917308,0.3436
0.004919231,-0.3652
0.004921154,0.4295
0.004923077,-0.4082
0.004925,0.3758
0.004926923,-0.3437
0.004928846,0.4197
0.004930769,-0.4189
0.004932692,0.3752
0.004934615,0
0.004936538,-0.2149
0.004938462,0.3973
0.004940385,-0.4404
0.004942308,0.4008
0.004944231,-0.4082
0.004946154,0.4295
0.004948077,-0.4082
0.00495,0.4295
0.004951923,-0.414
0.004953846,0.4018
0.004955769,-0.3867
0.004957692,0.4295
0.004959615,-0.4032
0.004961538,0.3865
0.004963462,-0.3867
0.004965385,0.3968
0.004967308,-0.352
0.004969231,0.4078
0.004971154,-0.3652
0.004973077,0.3597
0.004975,-0.3545
0.004976923,0.3328
0.004978846,-0.3385
0.004980769,0.3534
0.004982692,-0.3224
0.004984615,0.3643
0.004986538,-0.3424
0.004988462,0.3221
0.004990385,-0.3223
0.004992308,0.2899
0.004994231,-0.2578
0.004996154,0.2899
0.004998077,-0.2041
0.005,0.2202
0.005001923,-0.2239
0.005003846,0.1717
0.005005769,-0.2285
0.005007692,0.1645
0.005009615,-0.2578
0.005011538,0.5
0.005013462,-0.1827
0.005015385,-0.2793
0.005017308,0.3436
0.005019231,-0.3652
0.005021154,0.4295
0.005023077,-0.4082
0.005025,0.3758
0.005026923,-0.3437
0.005028846,0.4197
0.005030769,-0.4189
0.005032692,0.3752
0.005034615,0
0.005036538,-0.2149
0.005038462,0.3973
0.005040385,-0.4404
